Season,Episode,Topic,Label,Confidence,Topic Words
1,7,2,Gossip,0.044922948,"['la', 'passion', 'know', 'people', 'life', 'kind', 'never', 'singing', 'big', 'suddenly']"
1,8,0,Child,0.081640728,"['im', 'think', 'oh', 'look', 'like', 'uh', 'dont', 'youre', 'get', 'know']"
1,8,0,Gossip,0.076792926,"['im', 'think', 'oh', 'look', 'like', 'uh', 'dont', 'youre', 'get', 'know']"
1,8,0,Sofa,0.070679106,"['im', 'think', 'oh', 'look', 'like', 'uh', 'dont', 'youre', 'get', 'know']"
1,8,0,Breakup,0.047888167,"['im', 'think', 'oh', 'look', 'like', 'uh', 'dont', 'youre', 'get', 'know']"
1,8,1,Breakup,0.075792208,"['oh', 'twice', 'god', 'okay', 'yeah', 'uh', 'never', 'happens', 'non', 'suck']"
1,8,1,Fight,0.067932911,"['oh', 'twice', 'god', 'okay', 'yeah', 'uh', 'never', 'happens', 'non', 'suck']"
1,8,1,Child,0.064865433,"['oh', 'twice', 'god', 'okay', 'yeah', 'uh', 'never', 'happens', 'non', 'suck']"
1,8,1,Sofa,0.059175208,"['oh', 'twice', 'god', 'okay', 'yeah', 'uh', 'never', 'happens', 'non', 'suck']"
1,9,0,Thanksgiving,0.452575743,"['thanksgiving', 'potato', 'dinner', 'know', 'joey', 'chandler', 'right', 'kind', 'lump', 'ross']"
1,9,0,Food,0.251373738,"['thanksgiving', 'potato', 'dinner', 'know', 'joey', 'chandler', 'right', 'kind', 'lump', 'ross']"
1,9,0,Child,0.129296571,"['thanksgiving', 'potato', 'dinner', 'know', 'joey', 'chandler', 'right', 'kind', 'lump', 'ross']"
1,9,0,Cooking,0.079080038,"['thanksgiving', 'potato', 'dinner', 'know', 'joey', 'chandler', 'right', 'kind', 'lump', 'ross']"
1,9,1,Child,0.088115796,"['wrong', 'yeah', 'oh', 'thats', 'wait', 'one', 'whats', 'saw', 'yes', 'look']"
1,9,1,Gossip,0.054543599,"['wrong', 'yeah', 'oh', 'thats', 'wait', 'one', 'whats', 'saw', 'yes', 'look']"
1,9,1,TV,0.054032564,"['wrong', 'yeah', 'oh', 'thats', 'wait', 'one', 'whats', 'saw', 'yes', 'look']"
1,9,1,Acting,0.052761793,"['wrong', 'yeah', 'oh', 'thats', 'wait', 'one', 'whats', 'saw', 'yes', 'look']"
1,9,2,Child,0.587692022,"['ok', 'im', 'youre', 'hey', 'na', 'singing', 'baby', 'uh', 'gon', 'talk']"
1,9,2,Romance,0.072028622,"['ok', 'im', 'youre', 'hey', 'na', 'singing', 'baby', 'uh', 'gon', 'talk']"
1,9,2,Birth,0.042540666,"['ok', 'im', 'youre', 'hey', 'na', 'singing', 'baby', 'uh', 'gon', 'talk']"
1,9,2,Acting,0.031646099,"['ok', 'im', 'youre', 'hey', 'na', 'singing', 'baby', 'uh', 'gon', 'talk']"
1,9,3,Acting,0.067938812,"['key', 'got', 'said', 'didnt', 'tip', 'wondering', 'ooh', 'advance', 'fine', 'would']"
1,9,3,Gossip,0.065852694,"['key', 'got', 'said', 'didnt', 'tip', 'wondering', 'ooh', 'advance', 'fine', 'would']"
1,9,3,Money,0.065527551,"['key', 'got', 'said', 'didnt', 'tip', 'wondering', 'ooh', 'advance', 'fine', 'would']"
1,9,3,Museum,0.060190957,"['key', 'got', 'said', 'didnt', 'tip', 'wondering', 'ooh', 'advance', 'fine', 'would']"
1,10,0,Romance,0.234064087,"['im', 'okay', 'oh', 'na', 'yeah', 'gon', 'uh', 'kiss', 'hey', 'hi']"
1,10,0,Friendship,0.114410743,"['im', 'okay', 'oh', 'na', 'yeah', 'gon', 'uh', 'kiss', 'hey', 'hi']"
1,10,0,Child,0.086635597,"['im', 'okay', 'oh', 'na', 'yeah', 'gon', 'uh', 'kiss', 'hey', 'hi']"
1,10,0,Sex,0.04121872,"['im', 'okay', 'oh', 'na', 'yeah', 'gon', 'uh', 'kiss', 'hey', 'hi']"
1,10,1,Friendship,0.230831578,"['minsk', 'going', 'stay', 'david', 'go', 'tell', 'well', 'wan', 'na', 'lifson']"
1,10,1,Gossip,0.131102815,"['minsk', 'going', 'stay', 'david', 'go', 'tell', 'well', 'wan', 'na', 'lifson']"
1,10,1,Romance,0.084815986,"['minsk', 'going', 'stay', 'david', 'go', 'tell', 'well', 'wan', 'na', 'lifson']"
1,10,1,Marriage,0.075019144,"['minsk', 'going', 'stay', 'david', 'go', 'tell', 'well', 'wan', 'na', 'lifson']"
1,11,0,TV,0.388927251,"['mom', 'chandler', 'shes', 'dont', 'tv', 'phoebe', 'joey', 'yknow', 'um', 'know']"
1,11,0,Child,0.23899655,"['mom', 'chandler', 'shes', 'dont', 'tv', 'phoebe', 'joey', 'yknow', 'um', 'know']"
1,11,0,Acting,0.056153681,"['mom', 'chandler', 'shes', 'dont', 'tv', 'phoebe', 'joey', 'yknow', 'um', 'know']"
